Name,Number,Date,Lawrence M. Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,LeAnna M. Washington,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T. McIlhinney Jr.,Judith L. Schwank,Stewart J. Greenleaf,Lloyd K. Smucker,John T. Yudichak,Rob Teplitz,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E. Dinniman,Lisa Baker,Scott E. Hutchinson,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Edwin B. Erickson,John R. Gordner,Scott R. Wagner,David G. Argall,John H. Eichelberger Jr.,Patricia H. Vance,Richard A Kasunic,Richard L. Alloway II,Jake Corman,John N. Wozniak,Michael W Brubaker,Matthew Smith,James Ferlo,Kim L. Ward,Randy Vulakovich,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,James R. Brewster,Timothy J. Solobay,Elder A. Vogel,Michael J Folmer,Sean D. Wiley,Robert D. Robbins
"SB 1195 PN 1651, A5358, TARTAGLIONE AMENDMENT NO. A-5358",419,2014-03-10,Y,Y,Y,Y,Y,N,X,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N
"SB 1187 PN 1726, FINAL PASSAGE",418,2014-03-10,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 21 PN 114, FINAL PASSAGE",417,2014-03-10,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 497 PN 1703, CONCUR IN HOUSE AMENDMENTS",416,2014-03-10,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,415,2014-03-10,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),426,2014-03-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1195 PN 1800, FINAL PASSAGE",425,2014-03-11,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,N,Y,X,Y,Y,Y,,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y
"HB 798 PN 3105, FINAL PASSAGE",424,2014-03-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 771 PN 1767, FINAL PASSAGE",423,2014-03-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MOTION TO ACCEPT THE JOURNAL OF JANUARY 27, 2014",422,2014-03-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
