Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,LeAnna M. Washington,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T McIlhinney Jr.,Judith L. Schwank,Stewart J. Greenleaf Sr,Lloyd K Smucker,John T. Yudichak,Jeffrey E. Piccola,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Mary Jo White,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Edwin B Erickson,John R. Gordner,Michael L Waugh,David G. Argall,John H Eichelberger Jr.,Patricia H Vance,Richard A Kasunic,Richard L. Alloway II,Jake Corman,John N Wozniak,Michael W Brubaker,John R. Pippy,James Ferlo,Kim L. Ward,Randy Vulakovich,Jane Clare Orie,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,James R. Brewster,Timothy J. Solobay,Elder A. Vogel,Michael J Folmer,Jane M Earll,Robert D. Robbins
"HB 2045 PN 2814, FINAL PASSAGE",627,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1406 PN 1934, FINAL PASSAGE",626,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1351 PN 2140, FINAL PASSAGE",625,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1177 PN 1420, FINAL PASSAGE",624,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1144 PN 2077, FINAL PASSAGE",623,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1067 PN 2127, FINAL PASSAGE",622,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR MARCH 12, 2012",621,2012-05-02,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2134 PN 2979, FINAL PASSAGE",630,2012-05-07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1403 PN 1974, FINAL PASSAGE",629,2012-05-07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,628,2012-05-07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"HB 1956 PN 2687, FINAL PASSAGE",637,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"HB 1955 PN 2686, FINAL PASSAGE",636,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"HB 1862 PN 2400, FINAL PASSAGE",635,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"HB 1400 PN 3479, FINAL PASSAGE",634,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1382 PN 1891, FINAL PASSAGE",633,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1225 PN 2159, FINAL PASSAGE",632,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR MARCH 13, 2012",631,2012-05-08,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1466 PN 2165, FINAL PASSAGE",654,2012-05-09,N,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,N,Y,Y,Y,Y
"SB 1466 PN 2165, A10329, STACK AMENDMENT NO. A-10329",653,2012-05-09,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,X,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,,X,N,N,N,X,Y,Y,N,N,N,N
"SB 1466 PN 2165, A10354, STACK AMENDMENT NO. A-10354",652,2012-05-09,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,X,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,X,Y,Y,N,N,N,N
"SB 1466 PN 2165, A10353, DINNIMAN AMENDMENT NO. A-10353",651,2012-05-09,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,X,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,X,Y,Y,N,N,N,N
"SB 1466 PN 2165, A10356, FONTANA AMENDMENT NO. A-10356",650,2012-05-09,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,X,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,X,Y,Y,N,N,N,N
"SB 1466 PN 2165, A10357, FERLO AMENDMENT NO. A-10357",649,2012-05-09,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,X,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,,X,N,Y,Y,X,Y,Y,N,N,N,N
"SB 1466 PN 2165, A10355, KITCHEN AMENDMENT NO. A-10355",648,2012-05-09,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,X,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,,X,N,Y,Y,X,Y,Y,N,N,N,N
"SB 1433 PN 2164, FINAL PASSAGE",647,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1479 PN 2073, FINAL PASSAGE",646,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1478 PN 2072, FINAL PASSAGE",645,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1477 PN 2071, FINAL PASSAGE",644,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1476 PN 2070, FINAL PASSAGE",643,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1475 PN 2069, FINAL PASSAGE",642,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1474 PN 2068, FINAL PASSAGE",641,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1473 PN 2067, FINAL PASSAGE",640,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1472 PN 2066, FINAL PASSAGE",639,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR MARCH 14, 2012",638,2012-05-09,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),661,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS  SECRETARY OF DRUG AND ALCOHOL PROGRAMS GARY TENNIS,660,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,N,Y
"SB 1510 PN 2151, FINAL PASSAGE",659,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 1509 PN 2150, FINAL PASSAGE",658,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"SB 351 PN 745, FINAL PASSAGE",657,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"HB 165 PN 3272, A10273, EICHELBERGER AMENDMENT NO. A-10273",656,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,N,Y
RECESS RESOLUTION,655,2012-05-21,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,X,Y,Y,Y,Y,Y,Y
"HB 1825 PN 3494, FINAL PASSAGE",668,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1610 PN 3442, FINAL PASSAGE",667,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
"SB 1398 PN 2163, FINAL PASSAGE",666,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1263 PN 1627, FINAL PASSAGE",665,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 165 PN 3560, FINAL PASSAGE",664,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,X,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,,,N,Y,Y,Y,Y,Y,Y,Y,N,Y
"SB 817 PN 1830, CONCUR IN HOUSE AMENDMENTS",663,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR MARCH 26 & 27, 2012",662,2012-05-22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2271 PN 3255, FINAL PASSAGE",673,2012-05-23,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1492 PN 2197, FINAL PASSAGE",672,2012-05-23,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1091 PN 1188, FINAL PASSAGE",671,2012-05-23,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 804 PN 3561, FINAL PASSAGE",670,2012-05-23,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR MARCH 28, 2012",669,2012-05-23,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),678,2012-06-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1410 PN 2044, FINAL PASSAGE",677,2012-06-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1237 PN 1356, FINAL PASSAGE",676,2012-06-04,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1115 PN 2203, FINAL PASSAGE",675,2012-06-04,Y,Y,X,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,674,2012-06-04,Y,Y,X,Y,Y,Y,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1464 PN 2238, FINAL PASSAGE",683,2012-06-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1321 PN 2237, FINAL PASSAGE",682,2012-06-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
"HB 10 PN 1957, FINAL PASSAGE",681,2012-06-05,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,X,N,Y,,,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 1310 PN 2234, CONCUR IN HOUSE AMENDMENTS",680,2012-06-05,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,X,N,Y,,,Y,N,N,Y,N,N,N,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR APRIL 2, 2012",679,2012-06-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1465 PN 2059, FINAL PASSAGE",686,2012-06-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 155 PN 129, FINAL PASSAGE",685,2012-06-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE JOURNAL FOR APRIL 3 & 30, 2012",684,2012-06-06,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),691,2012-06-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1264 PN 3643, FINAL PASSAGE",690,2012-06-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1255 PN 2170, FINAL PASSAGE",689,2012-06-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 237 PN 722, FINAL PASSAGE",688,2012-06-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,687,2012-06-11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1546 PN 2268, FINAL PASSAGE",697,2012-06-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1545 PN 2267, FINAL PASSAGE",696,2012-06-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1528 PN 2213, FINAL PASSAGE",695,2012-06-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
"SB 866 PN 2270, FINAL PASSAGE",694,2012-06-12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
