Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,Art Haywood,John Patrick Sabatina Jr.,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Thomas H Killion,Charles T McIlhinney Jr.,Judith L. Schwank,Stewart J. Greenleaf Sr,Lloyd K Smucker,John T. Yudichak,Rob Teplitz,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Scott E. Hutchinson,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Thomas J McGarrigle,John R. Gordner,Scott R. Wagner,David G. Argall,John H Eichelberger Jr.,Patricia H Vance,Patrick J. Stefano,Richard L. Alloway II,Jake Corman,John N Wozniak,Ryan P. Aument,Guy Reschenthaler,Randy Vulakovich,Kim L. Ward,Mario M. Scavello,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,James R. Brewster,Camera Bartolotta,Elder A. Vogel,Michael J Folmer,Sean D. Wiley,Michele Brooks
"HB 162 PN 3955, FINAL PASSAGE",706,2016-10-24,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS RESOLUTION,705,2016-10-24,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1887 PN 3421, A10942, CORMAN AMENDMENT NO. A-10942",743,2016-10-25,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECUTIVE NOMINATIONS (ATTACHED),742,2016-10-25,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 2107 PN 4118, FINAL PASSAGE",741,2016-10-25,Y,X,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1087 PN 1493, FINAL PASSAGE",740,2016-10-25,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1998 PN 3515, FINAL PASSAGE",739,2016-10-25,Y,X,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y
"HB 1968 PN 4113, FINAL PASSAGE",738,2016-10-25,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1959 PN 3107, FINAL PASSAGE",737,2016-10-25,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1864 PN 3305, FINAL PASSAGE",736,2016-10-25,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
